Date,Price
2020-01-01,100.00039534134262
2020-01-02,99.99953470854742
2020-01-03,99.99884579125255
2020-01-04,99.99325568593257
2020-01-05,99.98640271429548
2020-01-06,100.00447504854392
2020-01-07,100.00692969573855
2020-01-08,100.01414008032104
2020-01-09,100.013210922768
2020-01-10,100.00912523116682
2020-01-11,100.01320661706893
2020-01-12,100.01071834940268
2020-01-13,100.01188614377405
2020-01-14,100.01320194787198
2020-01-15,100.02276270123345
2020-01-16,100.04362417477591
2020-01-17,100.05139615448611
2020-01-18,100.03214446653958
2020-01-19,100.03376770878384
2020-01-20,100.03244959418606
2020-01-21,100.02612903634599
2020-01-22,100.02552876999655
2020-01-23,100.02769685954745
2020-01-24,100.02547688025462
2020-01-25,100.0207035554478
2020-01-26,100.01931054918039
2020-01-27,100.01589266856313
2020-01-28,100.01720655984151
2020-01-29,100.03045225777849
2020-01-30,100.04350393849047
2020-01-31,100.04956456021843
2020-02-01,100.04360658721784
2020-02-02,100.04355279916508
2020-02-03,100.04985599164833
2020-02-04,100.03770086754015
2020-02-05,100.057515369997
2020-02-06,100.06914453579515
2020-02-07,100.05755630218992
2020-02-08,100.05885575631993
2020-02-09,100.07882951717961
2020-02-10,100.08029056025612
2020-02-11,100.08939905157413
2020-02-12,100.08892359758384
2020-02-13,100.11155484449068
2020-02-14,100.11237629885572
2020-02-15,100.12880781443417
2020-02-16,100.11210414546072
2020-02-17,100.11784595930929
2020-02-18,100.13136955707586
2020-02-19,100.1414453619537
2020-02-20,100.1393553767593
2020-02-21,100.14375384354534
2020-02-22,100.15798716917642
2020-02-23,100.15520497226706
2020-02-24,100.16746829713333
2020-02-25,100.18777990220872
2020-02-26,100.194710332319
2020-02-27,100.19404522289484
2020-02-28,100.19149639281859
2020-02-29,100.19108419773724
2020-03-01,100.19976516583596
2020-03-02,100.21404210236261
2020-03-03,100.2288619341453
2020-03-04,100.22914299219384
2020-03-05,100.24890716900306
2020-03-06,100.24406123016541
2020-03-07,100.25409712949842
2020-03-08,100.27294931540237
2020-03-09,100.26993315391543
2020-03-10,100.26114569850031
2020-03-11,100.26697849198946
2020-03-12,100.25659408462256
2020-03-13,100.26294839254224
2020-03-14,100.26357767816387
2020-03-15,100.26798371964176
2020-03-16,100.28823072189276
2020-03-17,100.28081181215597
2020-03-18,100.26795557879143
2020-03-19,100.26754112925497
2020-03-20,100.26926544185353
2020-03-21,100.27900906067079
2020-03-22,100.27254164122459
2020-03-23,100.2960404358068
2020-03-24,100.29133268788169
2020-03-25,100.2784643258095
2020-03-26,100.26886384691429
2020-03-27,100.28401287297676
2020-03-28,100.28107854697218
2020-03-29,100.2781321434825
2020-03-30,100.27779355622233
2020-03-31,100.26719331954683
2020-04-01,100.2664302349926
2020-04-02,100.26188500995255
2020-04-03,100.25632496906294
2020-04-04,100.25057678664781
2020-04-05,100.26445721629412
2020-04-06,100.28351867772093
2020-04-07,100.26046921341378
2020-04-08,100.28920189662526
2020-04-09,100.27797127153573
2020-04-10,100.2894698520672
2020-04-11,100.28933985753719
2020-04-12,100.28855070428378
2020-04-13,100.27946673518852
2020-04-14,100.27065679469548
2020-04-15,100.27121864131078
2020-04-16,100.26249517091374
2020-04-17,100.26797185820271
2020-04-18,100.28094452192018
2020-04-19,100.26940866915022
2020-04-20,100.27536858413156
2020-04-21,100.2782904691654
2020-04-22,100.27007777175605
2020-04-23,100.26059814262602
2020-04-24,100.25276786304725
2020-04-25,100.2536487110404
2020-04-26,100.25046978471862
2020-04-27,100.23894615505286
2020-04-28,100.23627930376654
2020-04-29,100.24292804033439
2020-04-30,100.23762820129268
2020-05-01,100.22804406441674
2020-05-02,100.23340827966386
2020-05-03,100.24182624478514
2020-05-04,100.2554551991376
2020-05-05,100.23396502147232
2020-05-06,100.23875409155143
2020-05-07,100.23562280395406
2020-05-08,100.25093225297697
2020-05-09,100.25715183930767
2020-05-10,100.24998916615361
2020-05-11,100.26450796864904
2020-05-12,100.26926675614351
2020-05-13,100.27462737414035
2020-05-14,100.27551996663074
2020-05-15,100.25945761706316
2020-05-16,100.26027817453921
2020-05-17,100.27139685789982
2020-05-18,100.26827924125023
2020-05-19,100.27171841233067
2020-05-20,100.27812927052621
2020-05-21,100.2758185000121
2020-05-22,100.26497095085554
2020-05-23,100.26061688331129
2020-05-24,100.276043144477
2020-05-25,100.28245851900677
2020-05-26,100.27736682683167
2020-05-27,100.26640179787637
2020-05-28,100.27116806276165
2020-05-29,100.27239258169458
2020-05-30,100.26172609431964
2020-05-31,100.25086077442809
2020-06-01,100.2451269587459
2020-06-02,100.2458981339207
2020-06-03,100.24169725809779
2020-06-04,100.25176032222197
2020-06-05,100.25424452889517
2020-06-06,100.27294754851015
2020-06-07,100.26576140068958
2020-06-08,100.26388090328594
2020-06-09,100.28114519647993
2020-06-10,100.27999457269063
2020-06-11,100.2813041785895
2020-06-12,100.29898877025519
2020-06-13,100.3003413910341
2020-06-14,100.30886106211942
2020-06-15,100.30257032547152
2020-06-16,100.30522497465249
2020-06-17,100.3017782016925
2020-06-18,100.2812808948279
2020-06-19,100.27519552493237
2020-06-20,100.27872625069166
2020-06-21,100.28189575173015
2020-06-22,100.28288627064875
2020-06-23,100.28329193849243
2020-06-24,100.29862868577777
2020-06-25,100.29517807071932
2020-06-26,100.29149378000237
2020-06-27,100.28823052275767
2020-06-28,100.27865126112526
2020-06-29,100.28940512641462
2020-06-30,100.28533326765564
2020-07-01,100.28896330824723
2020-07-02,100.29437880267767
2020-07-03,100.31663324796281
2020-07-04,100.30921649765374
2020-07-05,100.30583809733886
2020-07-06,100.31882537268324
2020-07-07,100.31166461216517
2020-07-08,100.32339966779159
2020-07-09,100.34124423921632
2020-07-10,100.33708301162163
2020-07-11,100.34276215603391
2020-07-12,100.34080316018334
2020-07-13,100.34316555848851
2020-07-14,100.34434815199084
2020-07-15,100.36031367812713
2020-07-16,100.36493867086432
2020-07-17,100.35488007195578
2020-07-18,100.35250085161812
2020-07-19,100.34567987274164
2020-07-20,100.36762589766623
2020-07-21,100.37438481729457
2020-07-22,100.35876057431416
2020-07-23,100.36592573853322
2020-07-24,100.38062550538919
2020-07-25,100.37831810577315
2020-07-26,100.35541817876542
2020-07-27,100.34912675546678
2020-07-28,100.34510942460929
2020-07-29,100.34964889338336
2020-07-30,100.33526441951724
2020-07-31,100.32622512656387
2020-08-01,100.3276600754624
2020-08-02,100.3271482582759
2020-08-03,100.3265546129416
2020-08-04,100.31816759828816
2020-08-05,100.32044817544518
2020-08-06,100.30494821980601
2020-08-07,100.30259317004823
2020-08-08,100.30227013215112
2020-08-09,100.31345064145178
2020-08-10,100.31529664462728
2020-08-11,100.32110887380941
2020-08-12,100.31480248764412
2020-08-13,100.31370685219689
2020-08-14,100.31117389978597
2020-08-15,100.3042574846976
2020-08-16,100.31466451225315
2020-08-17,100.31221526225089
2020-08-18,100.33561527832754
2020-08-19,100.34129083309006
2020-08-20,100.35317005172706
2020-08-21,100.35242729581972
2020-08-22,100.37209490312387
2020-08-23,100.3608657206351
2020-08-24,100.37095206081905
2020-08-25,100.3676564457658
2020-08-26,100.37988579092595
2020-08-27,100.39905610131605
2020-08-28,100.38403494076499
2020-08-29,100.38333678414193
2020-08-30,100.39895528232437
2020-08-31,100.40107664799571
2020-09-01,100.41201880433997
2020-09-02,100.41669073054918
2020-09-03,100.43202556081131
2020-09-04,100.43756899368039
2020-09-05,100.44446588042386
2020-09-06,100.45461236340265
2020-09-07,100.45423671013624
2020-09-08,100.45863598432966
2020-09-09,100.44744032574292
2020-09-10,100.45754926846259
2020-09-11,100.44848203563903
2020-09-12,100.45762447897451
2020-09-13,100.45777945834
2020-09-14,100.45239804142852
2020-09-15,100.45797466203675
2020-09-16,100.45456071124043
